vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,MacroIndustryData,中国社会融资规模增量政府债券2015年至2026年月度数据,1,EDB取数,,,"| 指标代码 | 指标名称 | 频率 | 单位 | 值 | 日期 | 数据来源 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 4346.701102 | 2019-02-28 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 1699.766677 | 2019-01-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 3451.754059 | 2018-12-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | -247.206556 | 2018-11-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 3032.04333 | 2018-10-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 9108.111356 | 2018-09-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 8651.34028 | 2018-08-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 7998.112293 | 2018-07-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 6509.332064 | 2018-06-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 2728.052599 | 2018-05-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 5302.824331 | 2018-04-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 1815.848387 | 2018-03-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 175.271591 | 2018-02-28 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 5.362437 | 2018-01-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 2758.932097 | 2017-12-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 5979.300893 | 2017-11-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 4967.956311 | 2017-10-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 5486.091089 | 2017-09-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 4419.743144 | 2017-08-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 9472.42651 | 2017-07-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 6571.317495 | 2017-06-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 6504.624227 | 2017-05-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 5938.93254 | 2017-04-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 3229.983071 | 2017-03-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | -190.691353 | 2017-02-28 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 665.452612 | 2017-01-31 | 中国人民银行 |
",2026-08-03T11:18:29.962225+08:00
